Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Available,Backorder,Unit Price,Extended Price USD
1,2,SRP1038A-100MCT-ND,SRP1038A-100M,FIXED IND 10UH 7.5A 30 MOHM SMD,ahf12,2,0,1.57,3.14
2,2,MCP2515-E/P-ND,MCP2515-E/P,IC CAN CONTROLLER W/SPI 18DIP,ahf12,2,0,3.13,6.26
3,2,MCP2515-I/SO-ND,MCP2515-I/SO,IC CAN CONTROLLER W/SPI 18SOIC,ahf12,2,0,2.45,4.9
4,2,609-4717-ND,DILB8P-223TLF,CONN IC DIP SOCKET 8POS TIN,ahf12,2,0,0.36,0.72
5,2,1175-1477-ND,243-16-1-03,CONN IC DIP SOCKET 16POS TIN,ahf12,2,0,0.37,0.74
6,2,1175-1490-ND,245-28-1-06,CONN IC DIP SOCKET 28POS TIN,ahf12,2,0,0.68,1.36
7,2,497-1491-5-ND,LD1117V33,IC REG LINEAR 3.3V 800MA TO220AB,ahf12,2,0,0.84,1.68
8,2,497-17906-ND,LD1117V50C,IC REG LINEAR 5V 800MA TO220,ahf12,2,0,0.8,1.6
9,2,1923-1789-ND,LFXTAL024901BULK,CRYSTAL 25.0000MHZ 22PF TH,ahf12,2,0,0.48,0.96
10,8,P3.3RCT-ND,ERJ-8RQF3R3V,RES SMD 3.3 OHM 1% 1/4W 1206,ahf12,8,0,0.41,3.28
11,7,399-C0805C475K8RAC7800CT-ND,C0805C475K8RAC7800,CAP CER 4.7UF 10V X7R 0805,ahf12,7,0,0.44,3.08
12,8,A126332CT-ND,CRG0805F10K/10,RES SMD 10K OHM 1% 1/8W 0805,ahf12,8,0,0.1,0.8
13,8,118-CMP0805-FX-10R0ELFCT-ND,CMP0805-FX-10R0ELF,RESHIGHPOWER 0805 10R 1% 1/2W TC,ahf12,8,0,0.2,1.6
14,8,4530-BSS138CT-ND,BSS138,N-CHANNEL ENHANCEMENT MODE MOSFE,ahf12,8,0,0.18,1.44
